organization,switch,switch_serial,port_id,port_name,enabled,,,switch,Inactive Enabled Count,Platoon,,Platoon,Count To Disable,Proposed Date,,Platoon,switch
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,23,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,24,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,26,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,27,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,28,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,30,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,32,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,33,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,34,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,35,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,36,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,37,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,38,OPC2 Admit Printer,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,39,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,40,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,41,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,42,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,43,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,44,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,45,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,47,Wireless,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,48,Wireless,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,49,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,50,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,51,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 4,Q2QW-5J6M-V8LW,52,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,1,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,3,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,5,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,6,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,7,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,9,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,10,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,11,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,12,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,15,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,16,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,18,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,19,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,21,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,23,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,27,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,28,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,29,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,30,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,31,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,32,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,33,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,34,ShoreTel,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,35,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,37,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,38,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,45,Static,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,47,Wireless AP,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,48,Wireless AP,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,49,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,50,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,51,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 5,Q2QW-5D3L-6FMC,52,,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,1,Pyxis ICU,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,2,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,3,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,4,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,5,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,8,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,9,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,10,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,11,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,12,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,13,Static-Printer,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,15,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,16,Data 130,True,,,,,,,,,,,,
BCMH,2nd Floor Stack 1 - 6,Q2QW-5LPS-3XUS,17,Data 130,True,,,,,,,,,,,,
